name;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
'unknown';0.000000;1.576139e-001;0;0
'unknown';0.010000;1.798688e-001;0;0
'unknown';0.020000;2.368166e-001;0;0
'unknown';0.030000;2.812580e-001;0;0
'unknown';0.040000;2.877173e-001;0;0
'unknown';0.050000;2.421105e-001;0;0
'unknown';0.060000;2.267784e-001;0;0
'unknown';0.070000;2.373998e-001;0;0
'unknown';0.080000;1.889020e-001;0;0
'unknown';0.090000;1.133384e-001;0;0
'unknown';0.100000;6.716326e-002;0;0
'unknown';0.110000;1.052590e-001;0;0
'unknown';0.120000;1.509290e-001;0;0
'unknown';0.130000;1.599287e-001;0;0
'unknown';0.140000;1.607350e-001;0;0
'unknown';0.150000;1.515822e-001;0;0
'unknown';0.160000;1.411843e-001;0;0
'unknown';0.170000;1.329354e-001;0;0
'unknown';0.180000;1.196861e-001;0;0
'unknown';0.190000;1.355265e-001;0;0
'unknown';0.200000;1.296027e-001;0;0
'unknown';0.210000;1.330333e-001;0;0
'unknown';0.220000;1.241591e-001;0;0
'unknown';0.230000;1.359653e-001;0;0
'unknown';0.240000;1.277440e-001;0;0
'unknown';0.250000;1.226651e-001;0;0
'unknown';0.260000;1.183266e-001;0;0
'unknown';0.270000;1.128716e-001;0;0
'unknown';0.280000;9.075320e-002;0;0
'unknown';0.290000;7.555074e-002;0;0
'unknown';0.300000;8.058953e-002;0;0
'unknown';0.310000;1.036225e-001;0;0
'unknown';0.320000;1.154718e-001;0;0
'unknown';0.330000;1.198182e-001;0;0
'unknown';0.340000;1.223543e-001;0;0
'unknown';0.350000;1.697607e-001;0;0
'unknown';0.360000;1.480249e-001;0;2.242893e-003
'unknown';0.370000;1.475731e-001;0;2.242893e-003
'unknown';0.380000;1.413260e-001;0;2.242893e-003
'unknown';0.390000;2.041693e-001;0;0
'unknown';0.400000;2.412997e-001;0;0
'unknown';0.410000;2.018036e-001;0;0
'unknown';0.420000;1.593515e-001;0;0
'unknown';0.430000;1.131192e-001;0;0
'unknown';0.440000;1.073009e-001;0;0
'unknown';0.450000;1.013985e-001;0;0
'unknown';0.460000;1.093934e-001;0;0
'unknown';0.470000;1.310623e-001;0;0
'unknown';0.480000;1.524140e-001;0;0
'unknown';0.490000;1.608503e-001;0;0
'unknown';0.500000;1.540493e-001;0;0
'unknown';0.510000;1.313706e-001;0;0
'unknown';0.520000;1.269276e-001;0;0
'unknown';0.530000;1.149938e-001;0;0
'unknown';0.540000;1.264310e-001;0;0
'unknown';0.550000;1.354775e-001;0;0
